#separator:tab
#html:true
#guid column:1
#tags column:6
uIk^cZVEq<	相変わらず	相[あい] 変[か]わらず	as before [usual]		0007 0125
B3[rG=+m}5	批評	批[ひ] 評[ひょう]	criticism		0119
HP?|HT)hf}	冷やす	冷[ひ]やす	to chill		0014
dQ:-MAWN,b	ひやひや	ひやひや	nervously		0143
MHPAs%r=;D	表	表[ひょう]	chart, table		0050
gQi56T[SO-	～費用	～ 費[ひ] 用[よう]	～ expenses		0055
"pFoT_(N#Ci"	美容	美[び] 容[よう]	beauty		0022
mH~QP$LrnN	評価	評[ひょう] 価[か]	evaluation		0038 0119
t]4S|}hZRU	美容師	美[び] 容[よう] 師[し]	beautician, hairdresser		0172
rOk4.fP?G)	評判	評[ひょう] 判[ばん]	reputation		0046 0119
l=/,X9dvEz	標本	標[ひょう] 本[ほん]	specimen		0074
l%~$?OFxrB	表面化	表[ひょう] 面[めん] 化[か]	surfacing		0173
DAPdAF/Kl-	評論	評[ひょう] 論[ろん]	criticism		0026 0119
bc7nw~(7W=	評論家	評[ひょう] 論[ろん] 家[か]	critic		0172
f:p(J4LA3@	ヒヨコ	ヒヨコ	chick		0070
ubf>W!Ug%v	ひょっとしたら	ひょっとしたら	possibly		0131
"cs#8.^=6BG"	ひょっとすると	ひょっとすると	possibly		0027 0131
kjk24huK|v	微量	微[び] 量[りょう]	very small amount		0078
N7szA<GGxx	広がる	広[ひろ]がる	to unfold		0179
xu>K@Ey*<8	広げる	広[ひろ]げる	to spread out		0179
CpcWSuZJY>	広場	広[ひろ] 場[ば]	square, plaza		0030
oB4+`g07n@	広まる	広[ひろ]まる	to spread (vi.)		0113 0178
"n03#D*X-[C"	広める	広[ひろ]める	to spread (vt.)		0010 0011 0178
eVfwko{vm;	瓶	瓶[びん]	bottle		0018 0070
oAMf?JYG&k	品種	品[ひん] 種[しゅ]	variety		0070
p>-W)W_Ohm	品種改良	品[ひん] 種[しゅ] 改[かい] 良[りょう]	selective breeding		0074
"j=3CU?JR*#"	頻繁	頻[ひん] 繁[ぱん]	frequency		0106
CIc^J,HRWg	ひんやり	ひんやり	cool		0142
p/)@E)95C?	不～、不～	不[ふ]～、 不[ぶ]～	不[ふ]～：un-, dis-, im-<br>不[ぶ]～：un-, im-		0007 0047 0166
x^azpidQoG	ファイル	ファイル	file		0050
A+fI_x<sYw	～風	～ 風[ふう]	～ style		0015 0173
cvT+7908O3	風景	風[ふう] 景[けい]	scenery		0112
KyV&@L>Y4|	フォント	フォント	font		0050
At@+F+Q@4.	部下	部[ぶ] 下[か]	subordinate	反.  上[じょう] 司[し]<br>boss	0002
n3Z1g<lFRs	不可能	不[ふ] 可[か] 能[のう]	impossible		0047 0166
c?40)Lw_0*	ぶかぶか	ぶかぶか	baggy		0078
b*kODYHYj]	深まる	深[ふか]まる	to deepen (vi.)		0178
CI6sx^@BM.	深み	深[ふか]み	depth		0179
fm&8SeTPVx	深める	深[ふか]める	to deepen (vt.)		0178
JG8q`lOrWw	不規則	不[ふ] 規[き] 則[そく]	irregular		0022
H6tO0fh+q!	不気味	不[ぶ] 気[き] 味[み]	eerie		0166
JM+4S|f&p`	普及	普[ふ] 及[きゅう]	diffusion		0074 0113
"I|;^#r,G8/"	普及率	普[ふ] 及[きゅう] 率[りつ]	diffusion rate		0173
IzO_{|*q/*	不器用	不[ぶ] 器[き] 用[よう]	clumsy	反.  器[き] 用[よう]<br>dexterity, skilfulness	0006 0007 0166
B/<ICEKLkr	ふきん	ふきん	dishcloth		0018
JnYETzuhOX	ふく	ふく	to wipe		0018
JG5TvtOP8W	副～	副[ふく]～	vice ～, side ～		0167
P|y|*:mnVS	副作用	副[ふく] 作[さ] 用[よう]	side effect		0167
t~B`}W&DQ,	服装	服[ふく] 装[そう]	clothing		0010
yZJ@0V_:lC	副都心	副[ふく] 都[と] 心[しん]	sub-centre of a city		0167
x^ql9O)yn9	含む	含[ふく]む	to have something in one's mouth		0014
w&?c*xN2WS	膨らむ	膨[ふく]らむ	to swell, to expand		0070 0095
w0i^%6ruv9	不景気	不[ふ] 景[けい] 気[き]	recession		0062
Ho5`!1AYWH	不潔	不[ふ] 潔[けつ]	dirty	反.  清[せい] 潔[けつ]<br>cleanliness	0006
"e4N#{/fmzI"	ふさがる	ふさがる	to be closed, to close up, to be occupied		0095
IuQC_DYpY%	ふざける	ふざける	to play around		0006
D0D:!~d:GX	不作法	不[ぶ] 作[さ] 法[ほう]	impolite, rude		0166
u$lkhYCnxb	ふさわしい	ふさわしい	suitable		0054
"O<#$Ow5{,S"	武士	武[ぶ] 士[し]	samurai		0066
t&NV%_}pSl	不足	不[ふ] 足[そく]	lack, shortage		0022
lfu-?>2147	～不足	～ 不[ぶ] 足[そく]	lack of ～		0023
Oz-zo+fL%E	不足分	不[ふ] 足[そく] 分[ぶん]	deficit		0078 0079
crW8wWGORp	舞台	舞[ぶ] 台[たい]	stage		0026
jX+NuggqJO	双子	双[ふた] 子[ご]	twins		0002
t|Ew@U`KuY	負担	負[ふ] 担[たん]	burden, responsibility		0062
xR53`|{|GY	物価	物[ぶっ] 価[か]	prices		0062
OV3n!yxh~S	ぶつかる	ぶつかる	to hit, to collide		0095
pju8W34u&y	復旧	復[ふっ] 旧[きゅう]	restoration		0058
pUw[q..Mi<	物質	物[ぶっ] 質[しつ]	substance		0070
da|Lk/[8He	ぶつぶつ	ぶつぶつ	grumble		0010
wOhP0KN:(u	物理学	物[ぶつ] 理[り] 学[がく]	physics		0038 0039
hANExK)jD.	不適切	不[ふ] 適[てき] 切[せつ]	unsuitable	反.  適[てき] 切[せつ]<br>appropriate	0046 0047
dcS-U=iqJ?	不適当	不[ふ] 適[てき] 当[とう]	inappropriate		0047
BvuBTp_6EF	ふと	ふと	suddenly		0136
G!O2n1:%gZ	部品	部[ぶ] 品[ひん]	part		0062
MHvV1Sr`Oh	吹雪	吹雪[ふぶき]	snowstorm		0034
lU*(t;6s6&	不平	不[ふ] 平[へい]	complaint		0010
w(Ryvk7Lp6	不真面目	不[ふ] 真[ま] 面目[じめ]	frivolous		0007
iAnX%Xy{+T	踏切	踏[ふみ] 切[きり]	railway crossing		0030
Df!L?|k[Z%	ふもと	ふもと	bottom of		0034
"Jhek#aAr?d"	ブラシ	ブラシ	brush		0022
x^n_Dl+R%c	プラスチック製	プラスチック 製[せい]	plastic		0173
G$X[C$cHL6	ホーム	ホーム	platform (abbr.)	cf. プラットホーム<br>platform	0030
L.*e~4cLmQ	プラン	プラン	plan		0030
e<Ita$7AL	振り～	振[ふ]り～	turn ～, way of ～		0161
PM|f|M&E%&	～ぶり	～ぶり	～ performance		0161
L|SVj<iEaP	振り返る	振[ふ]り 返[かえ]る	to look back		0161
N4)_uJ$!JK	振り向く	振[ふ]り 向[む]く	to turn about		0161
i^&FB]o<V2	不良品	不[ふ] 良[りょう] 品[ひん]	defective item		0074
AVzcX`4pKC	プリントアウト	プリントアウト	printout		0050
ebI1HZE[Mo	振る	振[ふ]る	to wag, to sprinkle, to shake		0010 0095
F4`@TPjz:(	古～	古[ふる]～	old ～		0071 0167
yOp1:ld<q:	震える	震[ふる]える	to tremble		0022
jUKI=l>%6h	古新聞	古[ふる] 新[しん] 聞[ぶん]	old newspaper		0070 0071
QG:u3lc95j	触れる	触[ふ]れる	to touch		0095
P{0f?pV&j7	プログラム	プログラム	programme		0050
QnlEhw|IxH	～分	～ 分[ぶん]	～ amount [worth]		0079
nd$~ptTu/8	噴火	噴[ふん] 火[か]	eruption		0058
"vv#RR~>}a<"	文学	文[ぶん] 学[がく]	literature		0038
B=qMQ{L2$V	文学部	文[ぶん] 学[がく] 部[ぶ]	department of literature		0038 0039
Dcc.-Cf!RF	文芸作品	文[ぶん] 芸[げい] 作[さく] 品[ひん]	literary work		0026
c-gWhBVYFr	文書	文[ぶん] 書[しょ]	document, piece of writing		0050
"wb=!Le*#h*"	奮闘	奮[ふん] 闘[とう]	struggle, efforts		0054
rJ?{]1O$V@	分野	分[ぶん] 野[や]	area		0112
MEay_u%0JC	平気	平[へい] 気[き]	unconcerned, insensitive		0006
ukU>@j@+WV	平均～	平[へい] 均[きん]～	average ～		0023
A/g?aj,4.)	平均気温	平[へい] 均[きん] 気[き] 温[おん]	average temperature		0023
JcpiuJ^Uw=	平均寿命	平[へい] 均[きん] 寿[じゅ] 命[みょう]	average lifespan		0022 0023
H@0hP@~:T6	平方センチメートル	平[へい] 方[ほう]センチメートル	square centimetre		0078
"K;#zL>1Rlm"	平野	平[へい] 野[や]	plains		0034
DP9`sEC&2Z	へこむ	へこむ	to deflate, to lose heart		0113
"gxd}gs-~u#"	別～	別[べつ]～	another ～		0166
tes%JU)`?`	別荘	別[べっ] 荘[そう]	cottage, villa		0030
rNma?u_T?2	ペットボトル	ペットボトル	PET bottle		0070
r9Ogo{~[)t	別に	別[べつ]に	(not) particularly		0130
u(/5187Hcn	ベテラン	ベテラン	veteran		0026
"ihYiL#K:a3"	へとへと	へとへと	completely exhausted		0143
Pe-ohlA?oH	便	便[べん]	service		0030
"HK#!3wPDsQ"	変更	変[へん] 更[こう]	change		0050
P7*$sRvu}D	変更届	変[へん] 更[こう] 届[とどけ]	notification of change		0173
zsHqIuMs@<	弁護士	弁[べん] 護[ご] 士[し]	lawyer		0042 0043 0172
ErW>`MG6mv	返済	返[へん] 済[さい]	repayment		0062
"rW5!#/COHJ"	編集者	編[へん] 集[しゅう] 者[しゃ]	editor		0172
Od&DS4+ABp	変動	変[へん] 動[どう]	fluctuation		0070
k8IGfs;3Qa	返品	返[へん] 品[ぴん]	returned goods		0074
x+^a{tA.kJ	保育所	保[ほ] 育[いく] 所[しょ]	nursery school		0054 0055 0172
l.is;qxyWU	～法	～ 法[ほう]	～ method [law]		0173
M`wL8QeDFj	ほうき	ほうき	broom		0018
"M-pn_;Ei+#"	防災対策	防[ぼう] 災[さい] 対[たい] 策[さく]	disaster prevention measures		0059
rfN~qZ*lKG	法事	法[ほう] 事[じ]	memorial service		0054
A+~&RC;)ga	～別	～ 別[べつ]	by ～		0173
CofaKWs^.r	～防止	～ 防[ぼう] 止[し]	prevention		0059
cmrOw<-mK*	報じる	報[ほう]じる	to report		0113
f-b?0sY.:x	～方針	～ 方[ほう] 針[しん]	～ policy		0043
FIu~rm+2^.	放送	放[ほう] 送[そう]	broadcast		0046
"KI5V#!F;Fg"	包帯	包[ほう] 帯[たい]	bandage		0022
A[_m~.XQ9%	法廷	法[ほう] 廷[てい]	court		0066
p8k2rppBn^	報道	報[ほう] 道[どう]	news report		0046
tHG!XW7Kt(	ボーナス	ボーナス	bonus		0042
"l#{QJa6rpK"	防犯対策	防[ぼう] 犯[はん] 対[たい] 策[さく]	crime prevention measures		0058 0059
EgZ+g1sD$M	豊富	豊[ほう] 富[ふ]	abundance		0078
du[s`$N7la	ほうぼう	ほうぼう	various		0107
By+I.|)-r7	～方面	～ 方[ほう] 面[めん]	in the direction of ～		0083
fzma!3o~<I	ホームページ	ホームページ	homepage		0050
k^g`9XieAx	ぽかぽか	ぽかぽか	warm		0142
deDLYU_-)N	保険	保[ほ] 険[けん]	insurance		0058
csuws4EINw	保険金	保[ほ] 険[けん] 金[きん]	insurance money [payment]		0058
Xbn&UP7H|	保健所	保[ほ] 健[けん] 所[じょ]	healthcare centre		0172
Dwp.Px4Oe>	保護	保[ほ] 護[ご]	protect		0058
xcOr*oWUod	～保護	～ 保[ほ] 護[ご]	～ protection		0071
jl7j<K/R{@	ほこり	ほこり	dust		0018
f6/K:bcW,,	募集	募[ぼ] 集[しゅう]	recruitment		0042
iw)IL.?Tsg	保証金	保[ほ] 証[しょう] 金[きん]	deposit		0172
s=JrEN$BAw	干す	干[ほ]す	to dry		0018
H0LUSLHQv_	保存	保[ほ] 存[ぞん]	saving		0050
M-tp4/<=mR	保存料	保[ほ] 存[ぞん] 料[りょう]	food preservative		0015
"P}:lA}(b2#"	墓地	墓[ぼ] 地[ち]	cemetery		0054
qEBsDhG9c?	仏	仏[ほとけ]	Buddha		0054
HWE?rE)0W~	骨が折れる	骨[ほね]が 折[お]れる	to require a lot of effort		0155
E`=+b{QqQO	ほぼ	ほぼ	more or less		0067 0106 0137
q|~FvjO<c6	ほほえみ合う	ほほえみ 合[あ]う	to exchange smiles (with another person)		0160
PdRk&J$H(6	ほほえみかける	ほほえみかける	to smile (at someone)		0160
p-MwxcIDv8	ほやほや	ほやほや	fresh		0142
j9>vMcuvDW	彫る	彫[ほ]る	to carve		0026
K^Q/!_|Euh	滅びる	滅[ほろ]びる	to decline		0066
t~C8*=&T}q	ぼろぼろ	ぼろぼろ	tattered, ragged		0142
nB0j4]LXy|	本格的	本[ほん] 格[かく] 的[てき]	full-scale, proper		0047
E896{M5i~j	香港経由	香[ホン] 港[コン] 経[けい] 由[ゆ]	via Hong Kong		0030
yb-Iig,_N	盆地	盆[ぼん] 地[ち]	basin		0034
r}l~`y:cmr	ほんの	ほんの	just		0137
b2C?K:C4oT	ぼんやり	ぼんやり	indistinct, absentminded		0035 0143
A76^|WRr$@	真～	真[ま]～	brand [right, mid] ～		0166
uHTv(.CP1D	参る	参[まい]る	to be overwhelmed by		0113
of,9<1wGwC	負かす	負[ま]かす	to beat		0113
t]wohLl[]O	巻く	巻[ま]く	to roll		0022
y`MZc@O:9k	幕	幕[まく]	curtain		0026
FHaR[(*i]r	まく	まく	to sow		0062
"L}#1cY*dk!"	孫	孫[まご]	grandchild		0002
"pP%#V7R<WW"	まさか	まさか	no way		0059 0130
AV*`YpNg@H	まさに	まさに	exactly, exactly right now		0011 0027 0137
m?*0NQ|%PU	まして	まして	much more		0136
x3V:[([>jr	マスコミ	マスコミ	mass communication		0046
LhrkT|YO)S	ますます	ますます	more and more		0075
lSVKRwtZ|B	混ぜ込む	混[ま]ぜ 込[こ]む	to mix (in cooking)		0160
"e#,,|8lhjW"	待ち合わせる	待[ま]ち 合[あ]わせる	to arrange to meet		0030
pn]`*&jr/(	真っ～	真[ま]っ～	pure [bright, deep, pitch] ～		0035
Ov~;Lh;`b^	真っ暗	真[ま]っ 暗[くら]	pitch dark		0034 0035
Pv>~SD6nK.	まったく	まったく	(not) at all		0106
ii:&KkcoL*	まとめる	まとめる	to collect		0038
r(Jql><|bH	マナー	マナー	manner		0112
yq;thZlU<6	招く	招[まね]く	to invite, to cause		0095
"P[Vovb59#H"	まぶしい	まぶしい	bright		0034
q-/&517O,n	真向い	真[ま] 向[むか]い	right opposite		0166
g(=jiYmxCW	間もなく	間[ま]もなく	soon		0106
yln?%}m{zr	守る	守[まも]る	to keep, to protect	反.  破[やぶ]る<br>to tear, to break<p></p>攻[せ]める<br>to attack	0002 0026
QR?BcnMk]m	迷う	迷[まよ]う	to get lost		0030
eRKW@[^V!t	～まる	～まる	(turns adjectives into intransitive verbs expressing change)		0178
oTRYj%$rN	まるで	まるで	as if		0003 0131
qFg|)SonS2	丸まる	丸[まる]まる	to curl up (vi.)		0178
l.a0G5o(AB	丸み	丸[まる]み	roundness		0179
jPV;;-!XX3	丸める	丸[まる]める	to roll up, to round (vt.)		0178
ebELyhhhjd	まれ	まれ	rare		0078 0106 0107 0125
"A06-zy)#.7"	回る	回[まわ]る	to go around		0030
IF[hGY>^@g	～回る	～ 回[まわ]る	～ around		0160
BUb|;B9Z=N	万一	万[まん] 一[いち]	by any chance		0043 0131
cL[;b?|dgS	満員	満[まん] 員[いん]	full, crowded, packed		0026
CZRP{poqtX	万が一	万[まん]が 一[いち]	by any chance		0131
dPsO%v2s70	見～	見[み]～	(indicates observation [appreciation])		0071 0161
HByI1<1)}q	未～	未[み]～	un-		0027 0166
O<sgyc^rFQ	～み	～み	(turns a limited number of adjectives into nouns)		0179
Kvh2T;&`,J	見上げる	見[み] 上[あ]げる	to look up	反.  見[み] 下[お]ろす<br>to look down	0034 0035
d[[;*D9TX~	見誤る	見[み] 誤[あやま]る	to misjudge		0071
"LCqt#=[ccm"	ミーティング	ミーティング	meeting		0112
D?ww=L(loS	見送る	見[み] 送[おく]る	to see off	反.  出[で] 迎[むか]える<br>to meet, to greet	0030 0161
p:LAcZP~:G	見下ろす	見[み] 下[お]ろす	to look down	反.  見[み] 上[あ]げる<br>to look up	0034
d2/!?a0_z/	見かけ	見[み]かけ	appearance		0006
<v$Y;}9=,	見かける	見[み]かける	to happen to see		0010 0161
"msk<9,:#B5"	味方	味[み] 方[かた]	ally, friend	反.  攻[せ]める<br>to attack	0026
"M@G[#Jdw,-"	身が入る	身[み]が 入[はい]る	to concentrate on		0154
w&I`Kh{yA&	未完成	未[み] 完[かん] 成[せい]	unfinished		0027 0166
zR6[|swkge	見事	見[み] 事[ごと]	brilliant		0026 0107
D/:*a]/Dy2	未婚者	未[み] 婚[こん] 者[しゃ]	unmarried		0055
f:I99/gEsk	岬	岬[みさき]	cape		0034
Jfo0P`v4|<	ミシン	ミシン	sewing machine		0018
GvIA[5}E;w	ミス	ミス	mistake		0026
f=;w`Qx).e	湖	湖[みずうみ]	lake		0034
"e|YURI_#VU"	自ら	自[みずか]ら	personally		0047
vZLkk8mn)c	水玉模様	水[みず] 玉[たま] 模[も] 様[よう]	polka dot		0019
pKpxp6.~S+	見出し	見[み] 出[だ]し	headline		0046
m?|jbXVu/o	道沿い	道[みち] 沿[ぞ]い	along the road		0161
jQ)-Fs%CuX	みっともない	みっともない	shameful		0010 0107
"iRe_:6#_YV"	見つめ合う	見[み]つめ 合[あ]う	to look at each other		0160
ra<*$[(*FT	見つめ直す	見[み]つめ 直[なお]す	to reconsider		0160
x/Yl^H^e}P	見つめる	見[み]つめる	to look at		0161
C0YglA?bfQ	認める	認[みと]める	to acknowledge		0042
zDzS,aduVn	見直す	見[み] 直[なお]す	to review, to look again		0066 0160
x|O`wP3Ue0	見習う	見[み] 習[なら]う	to emulate		0161
k_o!m@PAe	見慣れる	見[み] 慣[な]れる	to be familiar with		0161
zlTCxBwXvR	身につける	身[み]につける	to learn, to cultivate		0154
mpu9.8X!oK	実る	実[みの]る	to ripen		0034
dhOWBnH>P/	未発表	未[み] 発[はっ] 表[ぴょう]	unpublished		0026 0027 0166
HOk`FWm/P(	身分証	身[み] 分[ぶん] 証[しょう]	identification card		0173
p|5_T=/=>V	見回る	見[み] 回[まわ]る	to go [look] around		0160
w:d4DK%uAq	耳が痛い	耳[みみ]が 痛[いた]い	painful to hear		0149
PgZtOsWa|&	耳が早い	耳[みみ]が 早[はや]い	to be the first to know something		0149
h=}ZQa6Ad(	耳にする	耳[みみ]にする	to hear		0149
zwaNGR]oo|	耳を貸す	耳[みみ]を 貸[か]す	to listen to		0149
uNJpT,b0>d	魅力的	魅[み] 力[りょく] 的[てき]	enchanting		0047
fU@pPhtt{>	診る	診[み]る	to examine (medically)		0022
KCS5Oh8MCJ	見分ける	見[み] 分[わ]ける	to distinguish		0070 0071
K=o9Ke..7U	無～	無[む]～	un-, in-		0166
L[eA_xd6$3	～む	～む	(turns adjectives into verbs expressing feelings, emotions, etc.)		0178
"DmZ^Q|J#4|"	向かう	向[む]かう	to head toward		0083
qW-c8x~AC9	むかむか	むかむか	to feel sick		0143
"n}vPs&H#yC"	無許可	無[む] 許[きょ] 可[か]	unauthorised		0166
oTDZ<4pCjp	無気力	無[む] 気[き] 力[りょく]	lethargic		0166
OrK-Ik{PZM	無視	無[む] 視[し]	ignoring		0030
z4KK_IYDNH	蒸し暑い	蒸[む]し 暑[あつ]い	hot and humid		0034
I`vD{8sIKL	虫の居所が悪い	虫[むし]の 居[い] 所[どころ]が 悪[わる]い	to be in a bad mood		0155
NOwn0AEcBr	むしろ	むしろ	rather		0136
n%eMB(=s*K	蒸す	蒸[む]す	to steam		0018
t4f=lf&7f_	結びつける	結[むす]びつける	to tie, to fasten		0011
E.3kL=LZDO	胸が一杯になる	胸[むね]が 一[いっ] 杯[ぱい]になる	to be overwhelmed with emotion		0154
FW@ol-dfz2	胸に納める	胸[むね]に 納[おさ]める	to keep to oneself (a secret, etc.)		0154
fiGeXP&!4M	胸を打つ	胸[むね]を 打[う]つ	to be moving		0154
tRhJ2l2K+D	胸を張る	胸[むね]を 張[は]る	to be proud		0154
zZIgwE/eq/	無反応	無[む] 反[はん] 応[のう]	no response		0166
m-(:n3H%Tj	群がる	群[むら]がる	to gather, to huddle		0070
c@]b-t(74)	群れ	群[む]れ	flock, herd		0070
A[&,Rk:h?1	～目	～ 目[め]	-st, -nd, -th		0039
"wLZtjEgoC#"	名～	名[めい]～	famous [good] ～		0027 0167
mp-lPBz!%B	名演技	名[めい] 演[えん] 技[ぎ]	fine performance		0167
ec;@/!JH}1	名曲	名[めい] 曲[きょく]	famous piece of music		0027 0167
"cXZ#]eluD3"	名作	名[めい] 作[さく]	fine work (of art)		0026
RcJOk/qWu4	名所	名[めい] 所[しょ]	famous place		0030
s?daNX.J!>	名勝負	名[めい] 勝[しょう] 負[ぶ]	good match		0027 0167
o2,_*s+t@?	名セリフ	名[めい]セリフ	famous line		0167
lxY+mqk;V8	名場面	名[めい] 場[ば] 面[めん]	famous scene (in a movie)		0026 0027 0167
FL8~F,jznJ	迷惑メール対策	迷[めい] 惑[わく]メール 対[たい] 策[さく]	measures against spam		0051
Ea$jNQ[W{$	目上	目[め] 上[うえ]	superior	反.  目[め] 下[した]<br>subordinate	0002
"O6eN(uv6b#"	～メーカー	～メーカー	～ maker		0063
I2(Bk0:6$X	メール	メール	mail, email		0050
I<dC7H2]kF	目がない	目[め]がない	having a weakness for		0148
Al%Z4_pcPw	巡る	巡[めぐ]る	to go around		0030
"o`otvP#/H;"	目指す	目[め] 指[ざ]す	to aim at		0042
F$)!:7&lZ1	めざましい	めざましい	remarkable		0075
QFEZ4},[Y=	飯	飯[めし]	food, rice		0014
fvh,p5ba>%	目下	目[め] 下[した]	subordinate	反.  目[め] 上[うえ]<br>superior	0002
DQ-z-Eq1B8	雌	雌[めす]	female (animal)		0070
M_e^7pGZB%	めちゃくちゃ	めちゃくちゃ	complete mess		0142
"M,h#rFy2fl"	目つき	目[め]つき	look		0161
"j2j)m{$%h#"	めっきり	めっきり	really, remarkably		0007 0124
vuqgs|hery	メッセージ	メッセージ	message		0112
GY8R@:BDF-	めったに	めったに	rarely		0039 0130
"K#9m0aJ,ZZ"	メディア	メディア	media		0046
qgKo44dRfW	目に浮かぶ	目[め]に 浮[う]かぶ	to imagine, to picture in one's mind		0148
"i#8%bI0%(5"	目に付く	目[め]に 付[つ]く	to be conspicuous		0148
H63)duQ|,F	めまい	めまい	dizziness		0014
DZdqGPaW/x	～める	～める	(turns adjectives into transitive verbs expressing change)		0011 0178
r`odLv]sq2	目を付ける	目[め]を 付[つ]ける	to fix one's attention on		0148
"BIWUQ1#ay_"	目を通す	目[め]を 通[とお]す	to look over		0148
F{d7N>XHXL	免許証	免[めん] 許[きょ] 証[しょう]	licence		0173
tYR|WJ~|$r	免税店	免[めん] 税[ぜい] 店[てん]	duty-free shop		0030
cG/n-jO7SM	面積	面[めん] 積[せき]	area		0078
g8:?=3i;d.	面倒	面[めん] 倒[どう]	trouble		0107
"HE8c.KboA#"	メンバー	メンバー	member		0078
qA,U|~:O@_	もうかる	もうかる	to be profitable, to make a profit		0042
"s@y#[+43o<"	もうける	もうける	to make a profit		0042
hRu|jfLsu8	申し込み	申[もう]し 込[こ]み	application		0054
c}cr]MmC)}	申し込む	申[もう]し 込[こ]む	to apply		0054 0055
GTa?<btBex	申し訳ない	申[もう]し 訳[わけ]ない	I'm sorry.		0010
jQduXEk><L	目次	目[もく] 次[じ]	table of contents		0026
MnMd-s>UMi	もしかしたら	もしかしたら	maybe		0131
gW%fKnp3T|	もしかすると	もしかすると	maybe		0131
"Qt>1o#~r<K"	もたれる	もたれる	to lean		0014 0022
o&9aCC&@n{	持ち上げる	持[も]ち 上[あ]げる	to lift		0035
mUgE<d>_l>	持ち込む	持[も]ち 込[こ]む	to bring [carry] in		0160
G@QKOLo6!.	持ち直す	持[も]ち 直[なお]す	to recover		0113
A[WUX9Y6=0	もてる	もてる	to be popular with		0010
d8K`ka5A71	元	元[もと]	original		0083
bu8UF{SIDN	元～	元[もと]～	former ～		0166
cbDO?cbrIq	モニター	モニター	monitor		0050
gS&+N|ILIm	モノレール	モノレール	monorail		0030
IQ*<`]N6zC	もはや	もはや	(not) any longer [more]		0075 0125
j(_@)jgI(y	もむ	もむ	to massage		0022
rOIC+>yIzG	模様	模[も] 様[よう]	pattern		0018
t4>h@}Yr$%	～模様	～ 模[も] 様[よう]	～ pattern		0019
j:&B[9<;V:	文句	文[もん] 句[く]	complaint		0101
B:CZTd]]Dz	持ち出す	持[も]ち 出[だ]す	to take out		0160
y3o&H]q]:I	文部科学省	文[もん] 部[ぶ] 科[か] 学[がく] 省[しょう]	Ministry of Education, Culture, Sports, Science and Technology		0067
ya_+R/U*fB	やかましい	やかましい	noisy		0006 0100 0107 0118
G)(uX2v^Ww	焼き上がる	焼[や]き 上[あ]がる	to be baked		0160
FE%ChW[|cR	焼き立て	焼[や]き 立[た]て	freshly baked [roasted]		0161
`yMhVKC%1	～役	～ 役[やく]	role of ～		0026
b4[iEf>^x9	役者	役[やく] 者[しゃ]	actor [actress]		0026
wFxQ/>x|cF	訳す	訳[やく]す	to translate		0026
r,>6M>-J;3	役立つ	役[やく] 立[だ]つ	to be useful		0078
M6>Tj>5P*y	役目	役[やく] 目[め]	role, function		0054
A8t?5@U=o1	役割	役[やく] 割[わり]	role, function		0054
I>sB:WW$`u	休み明け	休[やす]み 明[あ]け	just after a holiday break		0161
OVKYg4o*T^	厄介	厄[やっ] 介[かい]	trouble		0107
nD8q.bD1O?	薬局	薬[やっ] 局[きょく]	pharmacy, chemist [drugstore]		0022
Mi;f$K7M|;	雇う	雇[やと]う	to hire		0042
"Qd-(K(#SZV"	野党	野[や] 党[とう]	opposition (party)		0066
B?*t^|B/HW	破る	破[やぶ]る	to tear, to break	反.  守[まも]る<br>to keep, to protect	0002 0026 0113
e)[VA4B|39	敗れる	敗[やぶ]れる	to be beaten [defeated]		0026
zuuWI%&QL.	やむをえず	やむをえず	unavoidably		0136
Fa0nSiT5$1	やむをえない	やむをえない	unavoidable		0107
O]]+5T{JI;	やや	やや	a little		0106
"Mzv#}V2Q/6"	有害	有[ゆう] 害[がい]	harmful		0070
h_Z{QY*[Wc	夕刊	夕[ゆう] 刊[かん]	evening newspaper		0046
hRJ8bMlWZb	夕暮れ時	夕[ゆう] 暮[ぐ]れ 時[どき]	dusk		0082 0083
tweRP9S)]1	有効	有[ゆう] 効[こう]	effective		0119
k/H7K|QNgR	優先度	優[ゆう] 先[せん] 度[ど]	priority		0173
z7/2?*~;`j	夕立	夕[ゆう] 立[だち]	shower		0034
"I$x;er3Hd#"	有能	有[ゆう] 能[のう]	competent		0119
wbTTTOHJ!W	有望	有[ゆう] 望[ぼう]	promising		0119
"u(5#r101Wd"	有名人	有[ゆう] 名[めい] 人[じん]	famous person		0046 0047
M++J(BGkmY	ユーモア	ユーモア	humour		0006
f=08EbR=2B	有利	有[ゆう] 利[り]	advantageous		0119
AQn8T}}7x&	有力	有[ゆう] 力[りょく]	influential, powerful		0119
JQu{*>(=tI	行方	行方[ゆくえ]	whereabouts		0058
gN?1r_1|4l	ゆで上がる	ゆで 上[あ]がる	to be completely boiled		0160
w(]eXp(!R|	ゆでる	ゆでる	to boil		0018
"Lk{t=R15#Q"	湯飲み	湯[ゆ] 飲[の]み	teacup		0014
gi9Zb<wPP$	許す	許[ゆる]す	to forgive		0054
Gq]K!9bZOa	湯沸かし器	湯[ゆ] 沸[わ]かし 器[き]	water heater		0172
pB,=_q.S/|	夜明け	夜[よ] 明[あ]け	dawn		0161
LG*&+$Lb<S	酔い	酔[よ]い	drunkenness		0014
m8Kf(`_4=&	酔う	酔[よ]う	to get drunk		0014
